MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,HasBsmt,SalePrice
60.0,0.0,8450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2003.0,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0,0.0,150.0,6.752270376141742,0.0,0.0,0.0,0.0,856.0,854.0,0.0,7.444248649496705,1.0,0.0,2.0,1.0,3.0,1.0,0.0,8.0,0.0,0.0,2.0,548.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,0.0,0.0,1.0,
20.0,0.0,9600.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,8.0,1976.0,1976.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,978.0,0.0,284.0,7.140453043101158,0.0,0.0,0.0,0.0,1262.0,0.0,0.0,7.140453043101158,0.0,1.0,2.0,0.0,3.0,1.0,1.0,6.0,0.0,1.0,2.0,460.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2007.0,0.0,0.0,1.0,
60.0,0.0,11250.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2001.0,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,0.0,434.0,6.824373670043086,0.0,0.0,0.0,0.0,920.0,866.0,0.0,7.487733761436444,1.0,0.0,2.0,1.0,3.0,1.0,0.0,6.0,0.0,1.0,2.0,608.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,0.0,0.0,1.0,
70.0,0.0,9550.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,1915.0,1970.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,216.0,0.0,540.0,6.628041376179533,0.0,1.0,0.0,0.0,961.0,756.0,0.0,7.448333860897476,1.0,0.0,1.0,0.0,3.0,1.0,0.0,7.0,0.0,1.0,3.0,642.0,0.0,0.0,35.0,272.0,0.0,0.0,0.0,0.0,2.0,2006.0,0.0,1.0,1.0,
60.0,0.0,14260.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,5.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,0.0,490.0,7.0431599159883405,0.0,0.0,0.0,0.0,1145.0,1053.0,0.0,7.6953031349635665,1.0,0.0,2.0,1.0,4.0,1.0,0.0,9.0,0.0,1.0,3.0,836.0,0.0,192.0,84.0,0.0,0.0,0.0,0.0,0.0,12.0,2008.0,0.0,0.0,1.0,
50.0,0.0,14115.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,5.0,5.0,1993.0,1995.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,732.0,0.0,64.0,6.679599185844383,0.0,0.0,0.0,0.0,796.0,566.0,0.0,7.216709486709457,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0,480.0,0.0,40.0,30.0,0.0,320.0,0.0,0.0,700.0,10.0,2009.0,0.0,0.0,1.0,
20.0,0.0,10084.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,8.0,5.0,2004.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.0,0.0,317.0,7.430114138561801,0.0,0.0,0.0,0.0,1694.0,0.0,0.0,7.434847875211999,1.0,0.0,2.0,0.0,3.0,1.0,0.0,7.0,0.0,1.0,2.0,636.0,0.0,255.0,57.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,0.0,0.0,1.0,
60.0,0.0,10382.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,7.0,6.0,1973.0,1973.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,859.0,32.0,216.0,7.009408932708637,0.0,0.0,0.0,0.0,1107.0,983.0,0.0,7.644919344958857,1.0,0.0,2.0,1.0,3.0,1.0,1.0,7.0,0.0,2.0,2.0,484.0,0.0,235.0,204.0,228.0,0.0,0.0,0.0,350.0,11.0,2009.0,0.0,0.0,1.0,
50.0,1.0,6120.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,2.0,7.0,5.0,1931.0,1950.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,952.0,6.858565034791365,0.0,1.0,0.0,1.0,1022.0,752.0,0.0,7.480992162869525,0.0,0.0,2.0,0.0,2.0,2.0,1.0,8.0,1.0,2.0,2.0,468.0,0.0,90.0,0.0,205.0,0.0,0.0,0.0,0.0,4.0,2008.0,0.0,1.0,1.0,
190.0,0.0,7420.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,3.0,1.0,1.0,3.0,5.0,6.0,1939.0,1950.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,851.0,0.0,140.0,6.898714534329988,0.0,0.0,0.0,0.0,1077.0,0.0,0.0,6.981934677156389,1.0,0.0,1.0,0.0,2.0,2.0,1.0,5.0,0.0,2.0,1.0,205.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,0.0,0.0,1.0,
20.0,0.0,11200.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,5.0,5.0,1965.0,1965.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,906.0,0.0,134.0,6.946975992135418,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,6.946975992135418,1.0,0.0,1.0,0.0,3.0,1.0,1.0,5.0,0.0,0.0,1.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,0.0,0.0,1.0,
60.0,0.0,11924.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,5.0,2005.0,2006.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,998.0,0.0,177.0,7.069023426578259,0.0,0.0,0.0,0.0,1182.0,1142.0,0.0,7.751045117971802,1.0,0.0,3.0,0.0,4.0,1.0,2.0,11.0,0.0,2.0,3.0,736.0,0.0,147.0,21.0,0.0,0.0,0.0,0.0,0.0,7.0,2006.0,1.0,2.0,1.0,
20.0,0.0,12968.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,5.0,6.0,1962.0,1962.0,1.0,0.0,3.0,4.0,1.0,0.0,1.0,737.0,0.0,175.0,6.815639990074331,0.0,2.0,0.0,0.0,912.0,0.0,0.0,6.815639990074331,1.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,352.0,0.0,140.0,0.0,0.0,0.0,176.0,0.0,0.0,9.0,2008.0,0.0,0.0,1.0,
20.0,0.0,10652.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,2006.0,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1494.0,7.309212365692763,0.0,0.0,0.0,0.0,1494.0,0.0,0.0,7.309212365692763,0.0,0.0,2.0,0.0,3.0,1.0,0.0,7.0,0.0,1.0,3.0,840.0,0.0,160.0,33.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,1.0,2.0,1.0,
20.0,0.0,10920.0,0.0,1.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,1.0,6.0,5.0,1960.0,1960.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,733.0,0.0,520.0,7.133295954896068,0.0,2.0,0.0,0.0,1253.0,0.0,0.0,7.133295954896068,1.0,0.0,1.0,1.0,2.0,1.0,1.0,5.0,0.0,1.0,1.0,352.0,0.0,0.0,213.0,176.0,0.0,0.0,0.0,0.0,5.0,2008.0,0.0,0.0,1.0,
45.0,1.0,6120.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,3.0,7.0,8.0,1929.0,2001.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,0.0,0.0,832.0,6.723832440821209,0.0,0.0,0.0,2.0,854.0,0.0,0.0,6.74993119378857,0.0,0.0,1.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,2.0,576.0,0.0,48.0,112.0,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,0.0,0.0,1.0,
